*, AP TEST, SCORE, COURSE, CREDIT, GE CATEGORY
Art History, 3/4/5, History 2002, 3
Biology, 3, Biology 1101, 4
Biology, 4, Biology 1113, 4
Biology, 5, Biology 1113, 4
Biology, 5, Biology 1114, 4
Calculus AB, 3/4/5, Math 1151, 5
Calculus BC, 3/4/5, Math 1151, 5 
Calculus BC, 3/4/5, Math 1152, 5 
Chemistry, 3, CHEM 1110, 5 
Chemistry, 4/5, CHEM 1210, 5
Computer Science A, 3, CSE 1223, 3
Computer Science A, 4/5, CSE 1223, 3
Computer Science A, 4/5, CSE 2123, 3
Computer Science Principles, 3/4/5, CSE 1211, 3
Microeconomics, 3/4/5, ECON 2001.01, 3
Macroeconomics, 3/4/5, ECON 2002.01, 3
English Language & Composition, 3/4/5, English 1110.01, 3
English Literature & Composition, 3/4/5, English 1110.02, 3
Environmental Science, 3/4/5, ENR 2100, 3
Gov. & Politics: US, 3/4/5, POLITSC 1100, 3
Gov. & Politics: Comparative, 3/4/5, POLITSC 1200, 3
History: European, 3/4/5, History 1212, 3
History: US, 3/4/5, History 1151, 3
History: US, 3/4/5, History 1152, 3
History: World, 3/4/5, History 1681, 3
History: World, 3/4/5, History 1682, 3
Human Geography, 3/4/5, Geography 2400, 3
Music Theory, 3, Music 1121, 2
Music Theory, 4/5, Music 2221, 2
Music Theory, 4/5, Music 2224, 2
Physics 1, 3/4/5, PHYSICS 1200, 5
Physics 2, 3/4/5, PHYSICS 1201, 5
Physics C: Electricity & Magnets, 3/4/5, PHYSICS 1251, 5
Physics C: Mechanics, 3/4/5, PHYSICS 1250, 5
Psychology, 3/4/5, Psych 1100, 3
Statistics, 3, STAT 1450, 3
Statistics, 4/5, STAT 2450, 3
Studio Art: 2D Design, 3/4/5, ART 2300, 3
Studio Art: 3D Design, 3/4/5, ART 2400, 3
Studio Art: Drawing, 3/4/5, ART 2400, 3